XData,YData,ID,IsCentroid
714100.508665,5006757.22226,70791,0
714097.926662,5006763.80809,70792,0
713113.678992,5006538.2499,70845,0
713619.462051,5006981.22583,70858,0
713205.448146,5007251.74089,70875,0
713452.050967,5007094.5892,70876,0
714091.422739,5006678.35119,70920,0
714104.026361,5006746.21934,70981,0
713754.847647,5007055.22996,70984,0
713459.566741,5006777.87621,71074,0
713443.291313,5006700.58925,71075,0
713496.698057,5006853.4488,71197,0
713501.813847,5006864.97731,71226,0
713609.810736,5007481.97357,71264,0
713606.175715,5007471.00867,71280,0
713138.809762,5007077.38676,71375,0
713361.00194,5007392.9203,71393,0
713626.75722,5006974.79863,71406,0
713336.689108,5007461.86337,71413,0
713285.245544,5007145.99,71522,0
713341.415069,5007445.98031,71538,0
713322.136378,5007449.44481,71577,0
713281.775435,5007133.5911,71584,0
713426.378282,5006576.83715,197710,0
713852.375414,5007139.49972,197723,0
713420.445774,5006921.97226,197735,0
713481.74508,5006858.22702,197749,0
714286.007158,5006787.85573,197762,0
713514.871581,5006866.05834,197798,0
713372.567153,5007454.61286,197835,0
713517.206141,5007059.61093,197848,0
713728.821264,5007161.44674,197865,0
713656.673777,5007084.63029,197906,0
713592.015631,5007478.84603,197942,0
713860.694934,5006641.67097,198000,0
713919.610891,5006656.71993,198002,0
713537.174496,5007148.59473,198276,0
713551.171804,5007146.8826,198284,0
713735.947175,5007074.22604,198289,0
713952.182943,5006654.91585,198500,0
713672.554154,5006608.57769,198517,0
713113.578801,5007567.05048,197700,1
713040.862019,5007465.17253,197701,1
712938.464172,5007339.20655,197702,1
713026.319943,5007001.68155,197703,1
713992.826538,5007527.19772,197705,1
713619.782348,5007528.24098,197779,1
713553.183286,5007556.72084,197780,1
713840.172666,5007485.74026,197781,1
713884.864142,5007569.42724,197782,1
714120.151618,5007562.41682,197783,1
713081.875051,5006804.88817,197789,1
712979.347547,5006714.62891,197790,1
712959.411644,5006637.07606,197791,1
712991.394311,5006553.95152,197808,1
712994.47619,5006524.45354,197809,1
713227.818442,5006369.03879,197810,1
713302.223801,5006374.32202,197811,1
713391.598287,5006480.4267,197812,1
713415.37278,5006475.58375,197813,1
713732.366028,5006489.23207,197814,1
713762.744548,5006560.55555,197815,1
713926.524393,5006558.35421,197816,1
713990.803579,5006525.33408,197817,1
714079.737796,5006529.73676,197818,1
714208.296169,5006555.27233,197820,1
714369.486787,5006784.25084,197826,1
714357.59954,5006824.75553,197827,1
714428.042484,5006898.94076,197828,1
713175.303005,5007592.72992,197830,1
713355.37278,5007562.35141,197832,1
713427.576798,5007534.6145,197833,1
713460.596928,5007521.40644,197834,1
713001.394495,5007315.19923,197862,1
712989.947516,5007121.48113,197863,1
713173.389741,5007103.75026,197880,1
714210.78968,5007454.97582,198293,1
714167.60951,5007300.54321,198294,1
714377.414336,5007229.42293,198295,1
714342.73229,5006690.01046,198296,1
714302.388049,5006687.21754,198304,1
