XData,YData,OriginIntersection,DestinationIntersection,ID,MaxSpeed,Lanes,Length
0.104534150199154,0.581277045785309,67116,67117,474,20.1,1,27.23
0.0885301477187626,0.582284595786869,67116,67934,3676,20.1,1,18.18
0.104534150199154,0.581277045785309,67117,67116,475,20.1,1,27.16
0.124139549099468,0.579802678638511,67117,71375,7883,20.1,1,30.53
0.145762787529105,0.652996822817865,67119,67120,477,20.1,1,15.48
0.129437931491613,0.656651617635134,67119,67472,3215,27,1,36.05
0.155290581996635,0.663503534588844,67119,68086,5499,26,1,27.24
0.16070932429099,0.638022431363559,67120,68201,1580,20.1,1,40.45
0.217393768015625,0.63049838810233,67131,67132,487,20.1,1,43.89
0.225200411953923,0.593533999057362,67131,69435,3408,20.1,1,40.79
0.207968766733781,0.656942932977164,67132,69067,7474,20.1,1,15.43
0.201347788890212,0.633936849734552,67132,69703,6945,20.1,1,30.67
0.366942971441455,0.363592510473306,67137,69315,3297,20.7,1,6.01
0.346260410644352,0.245069836373291,67138,67055,493,20.4665279388428,2,49.06
0.496014389473746,0.632398736926311,67144,67692,1000,18.7489547729492,1,29.26
0.503348502364624,0.652095835654327,67144,67895,4296,13,1,5.1
0.362964490114067,0.598213954529444,67145,67146,499,17.9832630157471,1,86.38
0.371070837999701,0.624090198316697,67146,67364,1581,20.1,1,52.7
0.346002175480148,0.654136677447404,67146,68585,2186,17.9832630157471,1,42.62
0.0740005678869591,0.229159122040875,67161,67282,3462,19.7928867340088,1,68.62
0.0318529741725072,0.224075343260894,67161,197791,8363,21,1,20.71
0.202098704764219,0.826246092835568,67162,67019,2102,20.1,1,47.09
0.186136812859335,0.856686850381914,67162,67163,511,20.1,1,63.66
0.190739299311205,0.885188809859192,67163,69313,7235,22.6993732452393,1,5.59
0.31630382451487,0.751885947723031,67166,67167,513,17.9832630157471,1,81.37
0.330553046814238,0.724534711631221,67166,68077,7056,20.9895401000977,1,13.62
0.326734318416962,0.778799904351867,67167,67509,821,20.1,1,58.65
0.299086035565215,0.806116209243554,67167,69111,2864,17.9832630157471,1,47.81
0.353365341559846,0.877197267091693,67168,67169,514,25.5690383911133,1,72.58
0.386001874737294,0.891418016571108,67168,67475,6325,20.9895401000977,1,34.7
0.406795598202839,0.874547877126663,67168,69802,3960,22.6993732452393,1,74.65
0.353365341559846,0.877197267091693,67169,67168,515,22.6993732452393,1,72.08
0.323314499224564,0.871809032398849,67169,68665,7869,20.1,1,10.15
0.32091634098662,0.879420528283241,67169,69912,4167,25.5690383911133,1,9.23
0.411866482317626,0.541529801724084,67171,68787,2677,20.1,1,32.16
0.543134702608384,0.762504742516616,67176,67177,522,18.7489547729492,1,44.04
0.489857609446756,0.770868049848757,67177,67780,1089,20.1,1,145.11
0.531551465351927,0.729734487820018,67177,68977,2634,18.7489547729492,1,33.29
0.764276518950826,0.27428000969524,67179,69777,5128,22.5627613067627,2,30.33
0.731415748150344,0.263557263016515,67179,69778,525,20.1,1,129.64
0.663030257988891,0.272420847734811,67180,68141,1497,21.9790802001953,1,58.06
0.677019275103433,0.241689244736595,67180,198500,8281,17.8329849243164,1,5.99
0.286871012458781,0.243198449105409,67210,67021,6052,20.1,1,36.35
0.259404680094508,0.222417208336159,67210,67211,554,20.1,1,61.71
0.280981781977004,0.19952438488314,67210,67662,5559,20.1,1,56.68
0.218582783044743,0.215196113254891,67211,68221,1607,20.1,1,50.91
0.335103694098414,0.383480817582112,67216,67217,558,19.7928867340088,1,36.87
0.322461409132055,0.415869840455796,67216,197735,4891,8,1,77.13
0.356787504368602,0.393421737068985,67217,197749,3929,19.7928867340088,1,8.99
0.363905651440509,0.455970171983271,67218,67219,559,20.7,1,45.95
0.362647837410233,0.432192002568962,67219,69507,4900,20.7,1,5.46
0.557630735362105,0.26832667325138,67223,67224,562,20.1,1,104.58
0.595746169470288,0.274672347261511,67223,67673,3562,20.1,1,2.04
0.600884260189207,0.24631102376303,67223,68612,2082,20,1,52.05
0.557630735362105,0.26832667325138,67224,67223,563,20.1,1,104.88
0.524799715934656,0.308491780111362,67224,67668,3755,20.1,1,97.16
0.496323853901573,0.27537526973849,67224,68476,1893,20.1,1,73.56
0.594861942042069,0.600113412606221,67225,67226,564,19.5836811065674,1,18.18
0.607316696418213,0.61847474125292,67225,197723,5688,21.884937286377,1,16.76
0.594861942042069,0.600113412606221,67226,67225,565,21.884937286377,1,18.09
0.578436367902784,0.578180962217227,67226,68767,2299,19.5836811065674,1,41.26
0.559609272157597,0.620226645754877,67226,197865,1184,20.1,1,89.19
0.684671847920949,0.667519584783141,67232,67233,570,19.5836811065674,1,87.58
0.72876383286118,0.699101945766718,67232,67258,591,21.884937286377,2,45.12
0.697720767097218,0.714434344229134,67232,67395,1438,20.1,1,66.21
0.684671847920949,0.667519584783141,67233,67232,571,21.884937286377,2,87.69
0.663966335661848,0.629133251950847,67233,67552,1217,18,1,40.34
0.635376121131406,0.638086941105861,67233,197723,1068,19.5836811065674,1,45.38
0.673363987592783,0.360918404303545,67234,67235,572,14,1,84.12
0.727906171340682,0.394885460189766,67235,67353,1022,14,1,85.17
0.711694799433977,0.348224200170533,67235,67696,2313,20.1,1,73.95
0.800617629427481,0.274262717750006,67237,67084,575,21.2154808044434,2,26.41
0.861041620079662,0.214449797474787,67240,68190,6137,21.8242683410645,1,10.3
0.824608142522422,0.208449557855658,67240,69050,2752,20.1,1,100.7
0.856015322408925,0.180226569919052,67240,197820,578,23,1,44.81
0.899570489651465,0.333454925836071,67242,197762,580,21.2154808044434,2,10.69
0.72876383286118,0.699101945766718,67258,67232,592,19.5836811065674,1,46.09
0.729254355577675,0.746816094025462,67258,67263,1589,20.8493728637695,1,92.92
0.753800705847016,0.689333422724217,67258,67695,1524,23.2133884429932,1,46.64
0.785281306176811,0.735471646346051,67258,198294,4691,27,2,106.35
0.778448990669766,0.906886634048095,67261,67262,595,20.1,1,87.93
0.776541743513251,0.956083439944541,67261,197783,4350,13,1,46.57
0.773537641302596,0.874028228022044,67262,67465,775,19,1,61.9
0.729254355577675,0.746816094025462,67263,67258,1590,23.2133884429932,2,93.22
0.70658153520433,0.799797180028863,67263,67264,596,20.8493728637695,1,34.49
0.698211289813713,0.762148492487878,67263,67395,711,23,1,58.39
0.70658153520433,0.799797180028863,67264,67263,597,23.2133884429932,1,34.74
0.694406828205752,0.830898696634622,67264,69088,3581,20.8493728637695,1,31.59
0.822922288224093,0.525295284276897,67272,67082,606,20.8493728637695,1,90.49
0.840617884882321,0.481007576642495,67272,67377,5193,23.2133884429932,1,27.18
0.0740005678869591,0.229159122040875,67282,67161,3461,21,1,69.06
0.133949121300094,0.230951408465609,67282,68664,5011,19.7928867340088,1,99.29
0.124005059695072,0.890287800811558,67290,67358,4055,22.6993732452393,1,41.39
0.113215683688095,0.935312794168955,67290,197700,624,16.9372386932373,1,93.94
0.444756685273235,0.841426349147602,67300,67301,631,20.7,1,3.24
0.485760259578774,0.817400175974179,67300,68130,1482,20.1,1,115.85
0.438254974740823,0.836627956925921,67301,70021,6770,20.3598327636719,1,12.58
0.442151558729217,0.857878225365823,67301,70617,7082,19.5167369842529,1,25.25
0.298541206204145,0.16003976019691,67313,197710,7259,25.7112979888916,2,62.38
0.394648865900007,0.399784797002079,67327,67328,653,21.884937286377,2,14.96
0.388870592323735,0.366135754371521,67327,68342,2121,20.1,1,68.09
0.409551025001828,0.406048154488379,67328,67477,5607,21.884937286377,2,5.44
0.409120835132089,0.386367362980286,67328,197797,7684,20.1,1,30.23
0.578761919433741,0.85955150708685,67340,67067,6769,18.7489547729492,1,5.64
0.517151526236776,0.86698066937882,67340,67341,663,23.9623432159424,1,180.41
0.448894140115565,0.870877661751217,67341,70617,5493,20.910041809082,1,10.07
0.76554505044382,0.374724273763676,67352,67353,673,20.1,1,89.98
0.749333678537115,0.328063013744443,67352,67696,4240,20.1,1,70.79
0.802181251817298,0.352408331995143,67352,67902,1384,20.1,1,79.75
0.776823719288995,0.329852055886479,67352,70792,6425,20.1,1,13.9
0.76554505044382,0.374724273763676,67353,67352,674,20.1,1,90.01
0.76386087782947,0.417786202307477,67353,68030,1367,14,1,23.32
0.155709092722117,0.886771333384106,67358,67359,682,22.6993732452393,1,46.59
